replay_buffer/size,trainer/QF Loss,trainer/Y Predictions Mean,trainer/Y Predictions Std,trainer/Y Predictions Max,trainer/Y Predictions Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,0.9954355,0.0021232981,0.00037500396,0.0024754598,0.00044581504,2000,201,9.900990099009901,1.254733220787397,14,8,1.0,0.0,1.0,1.0,9.900990099009901,1.254733220787397,14.0,8.0,0.95,0.2179449471770337,1,0,101,9.900990099009901,4994,534,9.352059925093632,0.7442824939939888,11,8,1.0,0.0,1.0,1.0,9.352059925093632,0.7442824939939888,11.0,8.0,1.0,0.0,1,1,534,9.352059925093632,0.0050218719989061356,0.48315920700042625,0.09942566499921668,0.00908470899958047,0.0031336150004790397,0.8701912100004847,1.4700162779990933,1.5891810289995192,0
3000,0.039134882,1.4057857,0.14411627,1.948203,1.1871504,3000,304,9.70873786407767,1.1711007846422155,13,7,1.0,0.0,1.0,1.0,9.70873786407767,1.1711007846422155,13.0,7.0,0.085,0.27888169534768686,1,0,103,9.70873786407767,9989,1065,9.40677966101695,0.7366330401358925,11,8,1.0,0.0,1.0,1.0,9.40677966101695,0.7366330401358925,11.0,8.0,0.0,0.0,0,0,531,9.40677966101695,0.004756366999572492,0.48231874700104527,0.09970084300039161,0.009809523000512854,0.0030065499995544087,0.8336501410012715,1.4332421710023482,3.0243975659977878,1
4000,0.06245912,2.0538273,0.18846844,2.307294,1.5965239,4000,317,76.92307692307692,32.594151288610846,147,38,1.0,0.0,1.0,1.0,76.92307692307692,32.594151288610846,147.0,38.0,0.526,0.49932354240512244,1,0,13,76.92307692307692,14984,1133,73.45588235294117,29.04278477954318,200,42,1.0,0.0,1.0,1.0,73.45588235294117,29.04278477954318,200.0,42.0,0.527927927927928,0.4992194215389186,1,0,68,73.45588235294117,0.004515885999353486,0.4602864339994994,0.09559697900112951,0.006126646001575864,0.0036852289995294996,0.8346899220014166,1.4049010960025043,4.431216846001917,2
5000,0.11930521,2.755961,0.33976847,3.7546227,1.8152823,5000,345,35.714285714285715,20.126132874692942,89,12,1.0,0.0,1.0,1.0,35.714285714285715,20.126132874692942,89.0,12.0,0.501,0.499998999999,1,0,28,35.714285714285715,19972,1242,45.76146788990825,26.558883543797652,97,11,1.0,0.0,1.0,1.0,45.76146788990825,26.558883543797652,97.0,11.0,0.4743384121892542,0.499341048694208,1,0,109,45.76146788990825,0.0045743410009890795,0.461811631999808,0.09556295099901035,0.006423253000320983,0.0030484330000035698,0.8440739809993829,1.415494590999515,5.848119388003397,3
6000,0.17361313,3.5487874,0.49002224,4.1850805,2.0525599,6000,359,71.42857142857143,30.499916359871932,150,37,1.0,0.0,1.0,1.0,71.42857142857143,30.499916359871932,150.0,37.0,0.509,0.4999189934379369,1,0,14,71.42857142857143,24963,1308,75.62121212121212,23.621231558683476,173,42,1.0,0.0,1.0,1.0,75.62121212121212,23.621231558683476,173.0,42.0,0.5095171308355039,0.49990941601520156,1,0,66,75.62121212121212,0.004582544001095812,0.4589145970003301,0.09538149499894644,0.006114144000093802,0.0030436859997280408,0.8377416010007437,1.4057780670009379,7.255587566007307,4
7000,0.49184322,4.439899,0.71705866,5.5776043,1.8751055,7000,386,37.03703703703704,8.275270976793992,65,25,1.0,0.0,1.0,1.0,37.03703703703704,8.275270976793992,65.0,25.0,0.471,0.4991582915268462,1,0,27,37.03703703703704,29945,1430,40.83606557377049,15.443371253318725,124,25,1.0,0.0,1.0,1.0,40.83606557377049,15.443371253318725,124.0,25.0,0.47430750702529106,0.4993394594909804,1,0,122,40.83606557377049,0.005277001999274944,0.46193373599999177,0.09588697599974694,0.006462597999416175,0.003072940000492963,0.8432696100007888,1.4159028619997116,8.67321116500898,5
8000,0.51031333,5.027317,0.94925517,6.086811,1.9972857,8000,402,62.5,19.586347285800894,105,24,1.0,0.0,1.0,1.0,62.5,19.586347285800894,105.0,24.0,0.503,0.4999909999189985,1,0,16,62.5,34877,1497,73.61194029850746,32.22215573352967,190,34,1.0,0.0,1.0,1.0,73.61194029850746,32.22215573352967,190.0,34.0,0.4991889699918897,0.49999934222989334,1,0,67,73.61194029850746,0.004601618000378949,0.46032114700028615,0.0961386399994808,0.006080581000787788,0.003066932000365341,0.839525429000787,1.409734347002086,10.08466869600852,6
9000,0.5264676,5.97414,1.01929,7.162543,1.8722872,9000,419,58.8235294117647,19.766981661696377,109,10,1.0,0.0,1.0,1.0,58.8235294117647,19.766981661696377,109.0,10.0,0.511,0.4998789853554558,1,0,17,58.8235294117647,39859,1568,70.16901408450704,21.23310325119383,131,44,1.0,0.0,1.0,1.0,70.16901408450704,21.23310325119383,131.0,44.0,0.5064231232436772,0.49995874178555627,1,0,71,70.16901408450704,0.004684699999415898,0.46483549599906837,0.0982530070014036,0.006139351999081555,0.0031355980008811457,0.8521064880005724,1.429154641000423,11.515500906009038,7
10000,0.46370667,6.785428,1.345011,8.249872,2.2410216,10000,432,76.92307692307692,34.43938161345468,149,27,1.0,0.0,1.0,1.0,76.92307692307692,34.43938161345468,149.0,27.0,0.501,0.499998999999,1,0,13,76.92307692307692,44833,1635,74.23880597014926,18.583486131058617,162,49,1.0,0.0,1.0,1.0,74.23880597014926,18.583486131058617,162.0,49.0,0.5026135906714918,0.4999931690971407,1,0,67,74.23880597014926,0.0050053020004270365,0.46406049899997015,0.09779955699923448,0.006105063001086819,0.003067768000619253,0.8795240260005812,1.455562215001919,12.972482870007298,8
11000,0.82611257,7.5547934,1.5535749,9.776604,2.1353002,11000,445,76.92307692307692,25.260067417114303,107,9,1.0,0.0,1.0,1.0,76.92307692307692,25.260067417114303,107.0,9.0,0.503,0.4999909999189985,1,0,13,76.92307692307692,49826,1696,81.85245901639344,24.44387084367144,159,43,1.0,0.0,1.0,1.0,81.85245901639344,24.44387084367144,159.0,43.0,0.5063088323653114,0.49996019704991157,1,0,61,81.85245901639344,0.004565905999697861,0.459709541999473,0.09542300100110879,0.0060693369996442925,0.003061026000068523,0.840846117998808,1.4096749299988005,14.383912229006455,9
